url,title,description,price_mio,address,city,land_size_m2,building_size_m2,bedroom,bathroom,garage,carport,property_type,certificate,voltage_watt,maid_bedroom,maid_bathroom,kitchen,dining_room,living_room,furniture,building_material,floor_material,floor_level,house_facing,concept_and_style,view,internet_access,road_width,year_built,year_renovated,water_source,corner_property,property_condition,ad_type,ad_id
/properti/tangerang/hos16543378/,"Rumah 2 Lantai Bagus Semi Furnished Sertifikat Hak Milik di Daan Mogot, Tangerang",Dijual Termurah Rumah Budi Indah Daan Mogot Siap Huni Rapi 3.65 X 15 Lt. 57 M² Lb. 114 M² 2 Lantai 3+1 Kamar Tidur 2 Kamar Mandi 2200 Watt Pam •Ada Bak Penampungan + Torent Dengan Kapasitas 1100L Garasi 1 Mobil Shm -Terletak Didalam Komplek -Full Renovasi -Area Sangat Strategis -Bebas Banjir -Row Jalan 2 Mobil -Asri Nyaman Dan Tenang -Security 24 Jam -One Gate System -Dekat Sekolah Dan Rumah Sakit Terdekat *Harga : 850Jt Nego (Termurah) ‼️ Property Consultant: Aling.Ng 0856 711 0xxx •Terima Titip Property Jual -Beli -Sewa : Rumah-Ruko-Apartemen-Soho- Gudang-Pabrik-Kavling-Office Space-Gedung-Hotel-Villa-Citra Garden - Pik1-Pluit-Muara Karang-Pik2-Golf Island-Bsd-Tangerang- Gading Serpong-Alam Sutera- Lippo Karawaci-Jabodetabek,850.0,"Daan Mogot, Tangerang",Tangerang,57,114.0,3.0,2.0,1.0,1.0,Rumah Tipe 120,SHM,2200.0,1.0,0.0,0.0,0.0,0.0,Semi Furnished,,,2.0,,,,,5.0,,,PAM/PDAM,False,Renovated,,
/properti/jakarta-selatan/hos18392523/,Rumah Asri Dan Eklusive Dikawasan Pemukiman Pondok Pinang Selangkah Ke Pondok Indah Dan Mrt Lebak Bulus Dan Tol Tb Simatupang,"Dijual Rumah Asri dan Nyaman di lingkungan yang Tenang ,di Kawasan Pemukiman kebayoran lama dekat ke Pondok Indah dan Lebakbulus . Bangunan Rumah sangat kokoh , Kekar dan terawat juga Halaman depan dan belakang tertata dengan baik . .Desain bangunan sangat Moderen dan Eklusive terdiri dari 2 lantai. Jalan depan Rumah 2 Mobil . Bangunan sekitarnya sangat tertata dengan baik dan teratur . Lokasi sangat strategis sekali karena : - Dekat ke Mall Pondok Indah , Gandaria City dan Cilandak Mall - Dekat ke RS Fatmawaty , RS Siloam , RS Pondok Indah dan RS Mayapada - Dekat ke Stasiun MRT Lebak Bulus dan Stasiun Kereta Kebayoran lama - Dekat ke Tol TB Simatupang dan Tol Lingkar Luar JABODETABEK - Dekat ke Kampus BINUS dan Kampus Prasetiya Mulya -Lokasi sangat strategis sekali sangat cocok buat tempat tinggal, Kos2an Eklusive dan Kantor karena dekat dari jl. Raya Ciputat Kebayoran lama. Rumah dijual cepat untuk info hub : Pesta LR RW Kebayoran Blok M .",4950.0,"Kebayoran Lama, Jakarta Selatan",Jakarta,320,450.0,5.0,3.0,0.0,2.0,Rumah Tipe >120,SHM,4400.0,0.0,0.0,0.0,0.0,0.0,Unfurnished,,,2.0,,Moderen dan Eklusive,,,5.0,,,,,Well Maintained,Dijual Cepat,
/properti/depok/hos18570241/,Rumah Di Perum Lereng Indah Cinere Perbatasan Pondok Cabe Ciputat,"Dijual Cepat Rumah Di Perum Lereng Indah, Pondok Cabe, Cinere Posisi rumah terletak di perbatasan Pondok Cabe , Pamulang , Ciputat ( Tangerang Selatan) dan Cinere ( Depok ) LT : 78m2 (6*13) LB : +/- 36m2 KT : 2 KM : 1 Bangunan 1 lantai Listrik : 1200 watt Hadap : Timur Carport : 1mobil Row : 1mobil Air tanah SHM Harga Jual : 590 jt (Nego)",590.0,"Perum Lereng Indah, Pondok Cabe, Cinere",Depok,78,36.0,2.0,1.0,0.0,1.0,Rumah Tipe 36,SHM,1200.0,0.0,0.0,0.0,0.0,0.0,Unfurnished,,,1.0,East,,,,2.5,,,Sumber Air,False,,Dijual Cepat,
/properti/jakarta-utara/hos16808954/,DIJUAL TERMURAH RUMAH PIK1 Layar Permai 2 Lantai Shm Sudah Renovasi Rumah Unfurnished Bagus SHM - Sertifikat Hak Milik di Pantai Indah Kapuk,DIJUAL TERMURAH RUMAH PIK1 Layar Permai 4x12 2 Lantai 2+1 Kamar tidur 2 Kamar mandi SHM •Sudah Renovasi | Rapi Terawat •Berada didalam Komplek Asri Bersih Nyaman dan Aman •Lingkungan sangat Asri Sejuk banyak Pohon Rindang •Row Jalan 2 Mobil •Security 24 jam | 1 Gate System •Area sangat strategis Dekat Mall | Sekolah | Toll | Resto dan Cafe •Area sangat Berkembang di PIK1,1750.0,"Pantai Indah Kapuk, Jakarta Utara",Jakarta,48,96.0,2.0,2.0,0.0,1.0,Rumah Tipe 120,SHM,2200.0,1.0,0.0,0.0,0.0,0.0,Unfurnished,,,2.0,,,,,5.0,,,,,Well Maintained,DIJUAL,
/properti/jakarta-selatan/hos16169877/,"Dijual Rumah Di Guntur Area Komersil, Setiabudi Menteng, Jakarta Selatan","Dijual Rumah di Guntur Area Komersil, Setiabudi Menteng, Jakarta Selatan LT : 6x40 (180m2) LB : 135m2 SHM Carport 2 mobil Hadap : Timur Row jalan 2 mobil Harga Jual : 6.7M (Nego Sampe Deal) Lingkungan Aman, Nyaman, Bebas Banjir, Cocok Untuk Ruko, Klinik Kecantikan, Bank & Ruang Usaha Lokasi Premium di Area Komersial & Kawasan Pusat Bismis, dekat ke Kuningan, Menteng, Thamrin, Kebon Kacang, Gambir, Senyan",6700.0,"Guntur, Jakarta Selatan",Jakarta,180,135.0,2.0,1.0,0.0,2.0,Rumah Tipe >120,SHM,,0.0,0.0,0.0,0.0,0.0,Unfurnished,,,0.0,East,,,,5.0,,,,False,,,
/properti/jakarta-selatan/hos16469732/,"Lokasi Bagus, Jalan Raya Utama. Dkt Toll. Rumah Cilandak Dijual","Rumah Dijual Cilandak - Margasatwa Pondok Labu, Cilandak Jakarta Selatan - HARGA PERDANA!! PROMO!! - Unit Sangat Terbatas! - Desainnya Megah ( Modern Tropical House ) - Bangunan Berkualitas - Premium Unit, Lokasi Strategis - Dekat Akses Toll, Sekolah Internasional, Mall - Lingkungan Tenang, Nyaman - ** JAKARTA SELATAN - DP Bisa Dicicil, KPR Bank Apapun Spesifikasi : - Bangunan 3 Lantai - Luas Tanah : 200 - 302 m2 ( Variatif ) - Luas Bangunan : 270 - 400 ( Variatif ) - Kamar Tidur : 5+1 KT - Kamar mandi : 4+1 KM - Carport Mobil 2+1 Mobil - SHM/IMB : Ada - Listrik 4400 Harga Mulai : Rp. 4 Miliar-an Cara Pembayaran : - Cash Keras / Bertahap - KPR Bisa Bank apapun - Proses dibantu s/d ACC Terima Titipan : Jual - Beli - Sewa Properti Rumah, Tanah, Kantor, Komersial Jabodetabek Area JK0206-CQID",4000.0,"Cilandak, Jakarta Selatan",Jakarta,200,278.0,5.0,4.0,0.0,2.0,Rumah Tipe >120,SHM,4400.0,1.0,1.0,0.0,0.0,0.0,Unfurnished,,,3.0,,Modern Tropical House,,,,,,Sumber Air,,,,
/properti/jakarta-barat/hos17916217/,Kost Ekslusif Jalan 3 Mobil Dekat Sport Club Taman Palem Jakarta,"Jual Cepat Kost Ekslusif Full Furnished 14 Kamar Bisa Jadi 20 Kamar Dalam Komplek Lokasi Super Strategis Dekat Sport Club Taman Palem, Dikelilingi Bank, Perkantoran, Mall, Kuliner: Investasi yang Menguntungkan dengan Cuan yang NGALIR Terus Setiap Bulan! Potensi Omset 624 JUTA Per Tahun Tambah Kamar Dapat Ditingkatkan ke 836 JUTA Per Tahun BALIK MODAL 7 - 10 Tahun Fasilitas kamar AC TV Springbed Meja Lemari Wastafel Shower Closet Duduk Wifi Token @2200 Watt LT 120 LB 180 KT 13+1 KM Dalam 13+1 Full Furnished Parkiran Mobil Parkiran Motor SHM IMB Rumah Kos Super Aman, Kartu Akses, One Get System Potensi Tambah 6 Kamar Rapi, Eksklusif, Full Tersewa Bebas Banjir 350 m Bank BRI 1 km KPP Pratama 1 km Green Sedayu Mall 2 km Mall Taman Palem 3 km Univ BSI 3 km RSUD Cengkareng 1 km Univ Satyagama Jakarta 4 km Bank Mandiri, BTN Harga Rp 6 M NEGO ABIS Hubungi SEGERA Terima Siap Bantu Jual Beli Invest Properti Kos Jabodetabek, Rumah Jakarta",6000.0,"Taman Palem, Jakarta Barat",Jakarta,120,180.0,14.0,14.0,0.0,2.0,Rumah Tipe >120,SHM,2200.0,1.0,1.0,,,,Furnished,,,,,,,Wifi,7.5,,,,,,,
/properti/jakarta-pusat/hos18120113/,"Roi Tinggi Inves Tercuan, Kos 38 Kamar Full Tersewa Di Pasar Baru","TERCUAN INVES ROI 14%, Kos 38 Kamar Full Tersewa, TOP STRATEGIS di Pasar Baru CUAN KOTOS-KOTOS! PASARAN 8,7 M DIJUAL 5,8 M NEGO, DIJUAL MURAH CEPAT(BU) Pilihan Terbai Keuntungan Tanpa Henti! PASTI UNTUNG, ROI TINGGI 14% BALIK MODAL 6-7 THN RUNNING AKTIF BANGET BONUS CAT ULANG Omset 65-70JT/Bulan Omset 780-840JT/Tahun KT 38 KM Dalam 38 Full Furnished Parkiran Mobil,Motor Akses 2 Mobil HGB Fasilitas kamar AC Springbed Lemari Toilet dalam 750 m Bank BCA 950 m Metro Atom Plaza 1 km Harco Ps Baru, St Juanda, Bank Mandiri 1 km RSUD Sawah Besar 2 km RS Husada, Bank BNI, Ps Baru Square, PT Pos Logistik 5 km Univ Nusa Mandiri,STIAMI Bisa Ditingkatkan BEBAS BANJIR Investasi yang nggak ada habisnya! Cashflow stabil, keuntungan terjamin, modal cepat balik, dan nilai aset terus naik. Plus, kamu bakal untung lebih dari capital gain! Jangan sampai kelewatan, kost ini lagi banyak yg cari! Penasaran kenapa? Ayo, langsung survei sekarang Hubungi Segera Siap Bantu Jual Beli Inves Properti Kos Jabodetabek, Rumah Jkt",5800.0,"Pasar Baru, Jakarta Pusat",Jakarta,184,412.0,38.0,38.0,0.0,2.0,Rumah Tipe >120,HGB,3300.0,0.0,0.0,0.0,0.0,0.0,Furnished,,,0.0,,,,,,,,,,,,
/properti/jakarta-pusat/hos16585281/,"Rumah Dijual bendungan Hilir. Dkt Toll, Bu, Cpt. Super Nego","Rumah Dijual Bendungan Hilir Jakarta Pusat - Jarang Ada! Unit Baru & Siap Huni - Lingkungan Tenang Dalam Komplek di Pusat Kota - Dekat ke Senayan & SCBD - Dekat ke akses Toll - Daerah Bebas Banjir - Jalan Depan Rumah Lebar 2 Mobil Lega Spesifikasi : - Bangunan 2 Lantai - Luas Tanah : 201 m2 - Luas Bangunan : 310 m2 - Kamar Tidur : 3 + 2 KT ( Ada KM dalam ) - Kamar Mandi 5 + 1 KM - 2 Ruang Keluarga ( Di Lantai 1 & 2 ) - Carport 2 Mobil +Motor - Listrik 2x2200 kwh ( Token & Pasca ) - PDAM - SHM & IMB Harga : Rp. 7.2 Miliar ( Nego Berapapun Dipertimbangkan ) Cara Pembayaran : - Cash Keras / Bertahap - KPR Bisa Bank apapun - Proses dibantu s/d ACC Terima Titipan Jual - Beli - Sewa Properti Rumah, Tanah, Kantor, Komersial Jabodetabek Area JK0003-CQID",7200.0,"Bendungan Hilir, Jakarta Pusat",Jakarta,201,310.0,3.0,5.0,0.0,2.0,Rumah Tipe >120,SHM,4400.0,2.0,1.0,0.0,0.0,2.0,Unfurnished,,,2.0,,,,,5.0,,,PAM/PDAM,False,New,Rumah Dijual,JK0003-CQID
/properti/jakarta-selatan/hos16455510/,"Dekat Antasari, Rumah Dijual Cilandak Barat, Cipete Area. Nego","Rumah Dijual Cilandak Barat - Cipete Area Jakarta Selatan Strategis : - Dekat dengan akses Tol - Lingkungan Tenang & Nyaman - Bebas Banjir - Selangkah Ke Jalan Raya Antasari - Bangunan Rapi, Terawat & Siap Huni - AC 7 unit + CCTV Spesifikasi : - Bangunan 2 Lantai - Luas Tanah : 353 m2 - Luas Bangunan : 415 m2 - Kamar tidur : 4 + 1 KT - Kamar Mandi 3 + 1 KT - Dapur Bersih + Dapur kotor - Kolam renang kecil - Garasi : 1 + Carport 3 - Hadap : Timur Harga : Rp. 10.5 Miliar ( Masih Bisa Nego ) Cara Pembayaran : - Cash Keras / Bertahap - KPR Bisa Bank apapun - Proses dibantu s/d ACC Terima Titipan : Jual - Beli - Sewa Properti Rumah, Tanah, Kantor, Komersial Jabodetabek Area JK0120-CQID",10500.0,"Cipete, Jakarta Selatan",Jakarta,353,415.0,4.0,3.0,1.0,3.0,Rumah Tipe >120,SHM,4400.0,1.0,1.0,2.0,,,Unfurnished,,,2.0,East,,,,,,,Sumber Air,,Well Maintained,Jual,JK0120-CQID
